149 / 10000: [ 0, 1, 1, 0, 0 ], [ 0, 82, 12, 0 ]
150 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 83, 12, 0 ]
151 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 84, 12, 0 ]
152 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 85, 12, 0 ]
153 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 86, 12, 0 ]
154 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 87, 12, 0 ]
155 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 88, 12, 0 ]
156 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 89, 12, 0 ]
157 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 90, 12, 0 ]
158 / 10000: [ 0, 1, 0, 0, 0 ], [ 0, 90, 12, 0 ]
159 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 91, 12, 0 ]
160 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 92, 12, 0 ]
161 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 93, 12, 0 ]
162 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 94, 12, 0 ]
163 / 10000: [ 0, 0, 0, 0, 0 ], [ 0, 94, 12, 0 ]
164 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 95, 12, 0 ]
165 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 96, 12, 0 ]
166 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 97, 12, 0 ]
167 / 10000: [ 0, 1, 0, 0, 0 ], [ 0, 97, 12, 0 ]
168 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 98, 12, 0 ]
169 / 10000: [ 0, 0, 1, 0, 0 ], [ 0, 98, 12, 0 ]
170 / 10000: [ 0, 0, 1, 0, 0 ], [ 0, 98, 12, 0 ]
171 / 10000: [ 0, 0, 2, 0, 0 ], [ 0, 98, 13, 0 ]
172 / 10000: [ 0, 1, 1, 0, 0 ], [ 0, 98, 14, 0 ]
173 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 99, 14, 0 ]
174 / 10000: [ 0, 0, 0, 0, 0 ], [ 0, 99, 14, 0 ]
175 / 10000: [ 0, 1, 0, 0, 0 ], [ 0, 99, 14, 0 ]
176 / 10000: [ 0, 0, 0, 0, 0 ], [ 0, 99, 14, 0 ]
177 / 10000: [ 0, 0, 0, 0, 0 ], [ 0, 99, 14, 0 ]
178 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 100, 14, 0 ]
179 / 10000: [ 0, 0, 0, 0, 0 ], [ 0, 100, 14, 0 ]
180 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 101, 14, 0 ]
181 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 102, 14, 0 ]
182 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 103, 14, 0 ]
183 / 10000: [ 0, 1, 0, 0, 0 ], [ 0, 103, 14, 0 ]
184 / 10000: [ 0, 1, 0, 0, 0 ], [ 0, 103, 14, 0 ]
